MOF,K_ethane (mol m-3 Pa-1),K_ethene (mol m-3 Pa-1),D_ethane_a (m2/s),D_ethane_b (m2/s),D_ethane_c (m2/s),D_ethane,D_ethene_a (m2/s),D_ethene_b (m2/s),D_ethene_c (m2/s),D_ethene,P_ethane,P_ethene,K(ea/ee),Score,¦Á,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,SOCERE,A
QUXQUX_clean,316.6791396,51.79692086,0,5.38E-09,0,1.79E-09,0,7.24E-09,0,2.41E-09,1695257484,373143987.1,4.543172454,4.671667995,6.113860329,5.17149,3.8322,5.17149,1.55185,476.457,307.026,0,0,0.3482,0.224378,0,0,1,1
LIDZUV_clean,325.7901371,53.34463956,3.11E-09,0,0,1.04E-09,4.02E-09,0,0,1.34E-09,1008166494,213378558.2,4.724778826,4.65705539,6.10727038,5.12552,3.77339,4.88815,1.54716,456.013,294.742,0,0,0.3458,0.223506,0,0,1,1
QUXRAE_clean,367.0492623,61.12112501,0,4.16E-09,0,1.39E-09,0,4.52E-09,0,1.51E-09,1519328290,274893019.9,5.526980241,5.039285555,6.005276608,5.03286,3.68439,5.03149,1.56261,456.108,291.888,0,0,0.3404,0.21784,0,0,1,1
QUXREI_clean,370.8998116,62.16328683,0,3.80E-09,0,1.27E-09,0,6.08E-09,0,2.03E-09,1402407248,376072421.8,3.729088246,4.427095073,5.966541194,5.01673,3.67388,5.01071,1.5629,457.79,292.911,0,0,0.336,0.214985,0,0,1,1
QUXROS_clean,369.3045185,62.03814049,0,3.38E-09,0,1.13E-09,0,5.46E-09,0,1.82E-09,1242039077,337043031.9,3.685105341,4.398755668,5.952862474,5.0019,3.66108,4.98081,1.56447,446.305,285.275,0,0,0.341,0.217965,0,0,1,1
QUWYEO_clean,392.7462152,66.05020447,0,3.06E-09,0,1.02E-09,0,5.01E-09,0,1.67E-09,1195824297,329265198.4,3.631796809,4.38380532,5.946177129,4.99055,3.64708,4.98531,1.56862,445.43,283.963,0,0,0.3404,0.217006,0,0,1,1
BEF0R_clean,1572.42835,265.4819221,0,5.40E-11,0,1.80E-11,0,2.04E-10,0,6.80E-11,84488687.46,53888867.77,1.567831928,3.790109505,5.922920618,4.97485,3.02564,4.97485,1.70485,0,0,731.783,429.236,0.4816,0.282488,0,1,2,1
QUXRUY_clean,404.0330727,69.12399567,0,3.10E-09,0,1.03E-09,0,5.50E-09,0,1.83E-09,1246271170,378290523.6,3.2944816,4.347251927,5.845048001,4.90652,3.5734,4.90652,1.57471,420.432,266.99,0,0,0.3326,0.211213,0,0,1,1
OKAYAC_clean,369.9087683,63.81542378,0,2.86E-09,0,9.53E-10,0,5.17E-09,0,1.72E-09,1052675699,328284319.3,3.206597564,4.308753677,5.796541751,4.90891,3.57241,4.90749,1.56645,415.712,265.385,0,0,0.3406,0.217434,0,0,1,1
CAHQOS_clean,1863.392054,321.564666,9.72E-13,0,0,3.24E-13,4.48E-12,0,0,1.49E-12,1802206.046,1433442.491,1.257257307,3.116535202,5.794766189,5.19236,3.17969,5.19236,1.93707,0,0,772.568,398.833,0.4076,0.210421,0,0,0,1
PARMIG_clean,559.9238353,96.66222436,4.00E-08,0,0,1.33E-08,4.21E-08,0,0,1.40E-08,22285525783,4049233478,5.503640603,5.491401468,5.792581735,4.62483,4.28304,4.62483,1.33462,793.109,594.261,0,0,0.4652,0.348565,0,0,1,1
PAQJUM_clean,340.3534881,58.86474621,2.08E-17,0,0,6.93E-18,3.02E-16,0,0,1.01E-16,7.044131893,17.68870981,0.398227568,1.006020421,5.781957963,6.1772,2.70883,6.17711,1.68004,0,0,979.734,583.161,0.5026,0.299159,0,0,0,1
